smiles,adrb1,adrb2,aa2ar,drd3,cxcr4
C#CC(=O)NC1CC(C1)[NH3+],,,,0.0,
C#CCN(C1CCCCC1)C(=O)C[C@H]2C(=O)NCC[NH+]2Cc3cccnc3,,,,0.0,
C#CCN(C1CCCCC1)C(=O)Nc2cccc(c2)N3CCNC3=O,,,0.0,,
C#CCN(Cc1cc(cc2c1OCOC2)[N+](=O)[O-])[C@@H]3CCc4c3cccc4,,,0.0,,
C#CCN(Cc1ccco1)C(=O)C(=O)Nc2ccc(cc2)Oc3ccccc3C#N,,,,0.0,
C#CCN(Cc1ccco1)CC(=O)Nc2cc(nn2c3ccccc3)C4CC4,,,,0.0,
C#CCN1C(=O)/C(=C\c2cc(c(c(c2)Cl)O)Cl)/SC1=O,,,,0.0,
C#CCN1CCCC[C@H]1C(=O)N2CCN(CC2)Cc3cc(=O)n4ccsc4[nH+]3,,,,0.0,
C#CCNC(=O)CCNC(=O)NCC1(CCCCC1)[NH+]2CCCCC2,,0.0,,,
C#CCNC(=O)CCNC(=O)NCCC[NH+]1CCN(CC1)Cc2ccccc2,0.0,,,,
C#CCNC(=O)CCNC(=O)NC[C@@H]1CCC[NH+]1CC2CCCCC2,,0.0,,,
C#CCNC(=O)CCNC(=O)NNc1c(cc(cc1Cl)Cl)Cl,0.0,,,,
C#CCNC(=O)CCNC(=O)Nc1cccc(c1)C[NH+]2CCC[C@H]2C(=O)N,0.0,,,,
C#CCNC(=O)CCNC(=O)Nc1ccccc1S[C@H](C(F)(F)F)Cl,0.0,,,,
C#CCNC(=O)CCNC(=O)Nc1ccccc1c2nc3ccccc3s2,,,0.0,,
C#CCNC(=O)CCNS(=O)(=O)c1cccc(c1)C(F)(F)F,,0.0,,,
C#CCNC(=O)CCNc1c2c3c(sc2nc(n1)C[NH+]4CCCC4)CCCC3,0.0,,,,
C#CCNC(=O)CC[C@@H]1CNC(=O)[C@H]2[NH+]1C[C@H](C2)NC(=S)NCc3ccco3,,0.0,,,
C#CCNC(=O)CC[C@@H]1CNC(=O)[C@H]2[NH+]1C[C@H](C2)NS(=O)(=O)c3ccc(cc3)F,,,0.0,,
C#CCNC(=O)CC[C@@H]1CNC(=O)[C@H]2[NH+]1C[C@H](C2)NS(=O)(=O)c3cccc(c3)C(F)(F)F,,,0.0,,
C#CCNC(=O)CNC(=O)NC1CCN(CC1)C(=O)C2CCCCC2,,,0.0,,
C#CCNC(=O)CNC(=O)c1cc2cccc(c2[nH]1)[N+](=O)[O-],,,0.0,,
C#CCNC(=O)CNC(=O)c1ccc(c(c1)[N+](=O)[O-])n2ccnc2,,,0.0,,
C#CCNC(=O)CNC(=O)c1ccc(cc1)OCC2CCCCC2,0.0,,,,
C#CCNC(=O)CNc1ccc(cc1[N+](=O)[O-])S(=O)(=O)C(F)(F)F,,,0.0,,
C#CCNC(=O)CNc1ccc(cc1[N+](=O)[O-])S(=O)(=O)N,,,0.0,,
C#CCNC(=O)Cn1cc(ccc1=O)Br,,,,0.0,
C#CCNC(=O)N1CCC(CC1)c2ccc(cc2)O,,,0.0,,
C#CCNC(=O)[C@@H]1C[C@H]([C@@H]([C@H]2[C@@H]1N(C(=S)N2)c3ccc(cc3)Cl)O)O,,0.0,,,
C#CCNC(=O)c1ccccc1NCC(=O)NN2C(=O)C3(CCCCC3)NC2=O,,,0.0,,
C#CCNS(=O)(=O)c1ccc(cc1)C(=O)NCCc2ccco2,0.0,,,,
C#CCNS(=O)(=O)c1ccc(cc1)C(=O)NNC(=S)Nc2ccc(cc2Cl)Cl,,0.0,,,
C#CCNS(=O)(=O)c1ccc(cc1)C(=O)N[C@H]2CCC[NH+](C2)CC(=O)N,0.0,,,,
C#CCNS(=O)(=O)c1cccc(c1)C(=O)Nc2ccccc2SCC(F)(F)F,,0.0,,,
C#CCOC[C@@H](C[NH+](Cc1ccccc1)C[C@@H]2CC(=NO2)c3ccc(cc3)Cl)O,,,,0.0,
C#CCOC[C@@H](C[NH+](Cc1ccccc1F)C[C@@H]2CC(=NO2)c3ccccc3)O,,,,0.0,
C#CCOC[C@@H](C[NH+](Cc1ccco1)Cc2[nH]c(=O)c3c(csc3n2)c4ccccc4Cl)O,0.0,,,,
C#CCOC[C@H](C[NH+](Cc1ccccc1)C[C@@H]2CC(=NO2)c3ccc(cc3)Cl)O,,,,0.0,
C#CCOC[C@H](C[NH+](Cc1ccccc1F)C[C@@H]2CC(=NO2)c3ccccc3)O,,,,0.0,
C#CCOC[C@H](C[NH+](Cc1cccn1Cc2ccc(cc2)F)CC3CCCCC3)O,,,,0.0,
C#CCOC[C@H](C[NH+](Cc1cccn1Cc2ccccc2F)CC3CCCCC3)O,,,,0.0,
C#CCOc1c(cc(cc1Cl)[C@@H]2C(=C(OC3=C2C(=O)CCC3)N)C#N)Cl,,,0.0,,
C#CCOc1ccc(cc1Br)/C=N/c2c(c3c(s2)CCCC3)C(=O)Nc4ccccc4,,,,0.0,
C#CCOc1ccc(cc1C[NH2+]Cc2cc(cs2)Br)Br,,,,0.0,
C#CCOc1ccc(cc1[C@@H]2c3ccc4ccccc4c3OC(=C2C#N)N)Br,,,0.0,,
C#CCOc1ccccc1/C=C(\C#N)/C2[NH+]=c3ccccc3=[NH+]2,,,,,0.0
C#CCOc3nc(c1ccccc1)nc4sc2CCCCc2c34,,,1.0,,
C#CCOc3nc(c1ccccc1)nc4sc2CCCc2c34,,,1.0,,
C#CCSC1=NC(=O)C2=C3CCCC[C@H]3SC2=N1,,,0.0,,
C#CCSC1=NC(=O)[C@@H]2C(=N1)c3ccccc3CC24CCCC4,,,,0.0,
C#CCSC1=NC(=O)[C@@H]2[C@@H](CC(=O)NC2=N1)c3ccc(c(c3)O)O,,,0.0,,
C#CCSc1c(c(cc(n1)c2cccs2)C(F)(F)F)C#N,,,,0.0,
C#CCSc1nnc2n1c3c(c(=O)[nH]2)CCCC3,,,0.0,,
C#CC[NH+](CC(=O)N([C@H]1CCS(=O)(=O)C1)C2CCCCC2)C3CCCCC3,,,,0.0,
C#CC[NH+](CC(=O)NCCc1ccc(cc1)OC(F)F)[C@@H]2CCc3c2cccc3,,,,0.0,
C#CC[NH+](CC(=O)NCCc1ccc(cc1)OC(F)F)[C@H]2CCc3c2cccc3,,,,0.0,
C#CC[NH+](CC(=O)Nc1ccc2c(c1)OCCCO2)[C@H]3CCc4c3cccc4,,,,0.0,
C#CC[NH+](CC(=O)Nc1cccc(c1)N2CCCC2=O)[C@@H]3CCc4c3cccc4,,,,0.0,
C#CC[NH+](CC(=O)Nc1cccc(c1)S(=O)(=O)N2CCCC2)[C@@H]3CCc4c3cccc4,,,,0.0,
C#CC[NH+](Cc1ccco1)CC(=O)Nc2c(cc(cc2Cl)Cl)Cl,,,,0.0,
C#CC[NH+](Cc1ccco1)CC(=O)Nc2ccc(cc2Cl)Br,,0.0,,0.0,
C#CCn1c(ccc(c1=O)C#N)c2ccc(cc2)[N+](=O)[O-],,0.0,,,
C#CCn1c2ccccc2c(c1O)/N=N/C(=O)[C@@H](c3ccccc3)O,,,0.0,,
C#CCn\1c2ccc(cc2s/c1=N\C(=O)[C@@H]3CCCN(C3)S(=O)(=O)c4ccccc4)S(=O)(=O)N,,,0.0,,
C#CCn\1c2ccc(cc2s/c1=N\C(=O)c3ccc(cc3)N4C(=O)CCC4=O)S(=O)(=O)N,,,0.0,,
C#CCn\1c2ccc(cc2s/c1=N\C(=O)c3cccc(c3)N4C(=O)CCC4=O)S(=O)(=O)N,,,0.0,,
C#C[C@H]1CN2CC[C@H]1C[C@@H]2C[NH+](Cc3ccc(cc3)C(F)(F)F)Cc4ccc(cc4)C(F)(F)F,,,,0.0,
C#C[C@H]1C[NH+]2CC[C@@H]1C[C@@H]2C[NH+](Cc3ccco3)Cc4ccco4,,,,,0.0
C#Cc1cccc(c1)NC(=O)C(=O)N[C@@H](CO)[C@@H](c2ccc(cc2)[N+](=O)[O-])O,,,0.0,,
C#Cc1cccc(c1)NC(=O)C2=CNN([C@H]2C(F)(F)F)c3ccc(nn3)[O-],0.0,,,,
C#Cc1cccc(c1)NC(=O)CNC(=O)CCC(=O)c2cccs2,,0.0,,,
C#Cc1cccc(c1)NC(=O)CNC(=O)NC[C@H](c2ccco2)[NH+]3CCCCC3,,0.0,,,
C#Cc1cccc(c1)NC(=O)CNC(=O)NC[C@H](c2cccs2)[NH+]3CCCC3,,,0.0,,
C#Cc1cccc(c1)NC(=O)CNC(=O)Nc2ccc(c(c2)F)OC(F)F,,,0.0,,
C#Cc1cccc(c1)NC(=O)c2ccccc2NS(=O)(=O)c3ccc4c(c3)[nH]c(=O)[nH]4,,,0.0,,
C#Cc1cccc(c1)NCC(=O)Nc2ccccc2C(=O)NCc3ccccc3,0.0,,,,
C#Cc1cccc(c1)N[C@@]2(CCCSC2)C(=O)[O-],,,0.0,,
C(C#C[C@@H](c1c(c(c(s1)Cl)Cl)Cl)O)O,,,,0.0,
C(C(=O)N)Sc1nnc(s1)NC(=O)CSc2nnc(n2N)C(F)(F)F,0.0,,,,
C(C(=O)N)Sc1nnc(s1)NC(=O)CSc2nnc(n2N)NN,,,0.0,,
C(C(=O)N)Sc1nnc(s1)NC(=O)CSc2nnc(s2)N,,,0.0,,
C(C(=O)NC(=O)N)OC(=O)c1c(c(c(c(n1)Cl)Cl)N)Cl,,,0.0,,
C(C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)[O-])[NH3+],,0.0,,,
C(CC(=O)N(CC(=O)NCCO)CC(=O)NCCO)C(=O)N(CC(=O)NCCO)CC(=O)NCCO,,0.0,,,
C(CC(Br)(Br)Br)c1nc(nc(n1)N(CO)CO)N(CO)CO,0.0,,,,
C(CCCNC(=O)NCCCCCCCl)CCNc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,,0.0,,,
C(CCCNC=C1C(=O)NC(=S)NC1=O)CCNC=C2C(=O)NC(=S)NC2=O,,0.0,,,
C(CCNC(=O)CSc1nnc(s1)N)CNC(=O)CSc2nnc(s2)N,,0.0,,,
C(CCSc1nnc(n1N)C(F)(F)F)CSc2nnc(n2N)C(F)(F)F,,,0.0,,
C(CCc1c([nH]c(=O)[nH]c1=O)NC[C@@H]([C@@H]([C@@H](CO)O)O)O)CC[P@](=O)(O)[O-],,0.0,,,
C(CCc2cc(c1ccccc1)no2)CN5CCN(C(c3ccccc3)c4ccccc4)CC5,,,,1.0,
C(CN2CCC(c1ccccc1)=CC2)C#Cc3ccncc3,,,,1.0,
C(CNCCCc1ccccc1)COc2ccccc2,,,,1.0,
C(CNc1c(c(=O)[nH]c(=O)[nH]1)Cc2c([nH]c(=O)[nH]c2=O)NCCCO)CO,,,0.0,,
C(CO)N([C@@H](C(Cl)(Cl)Cl)O)C(=O)N[C@H](C(Cl)(Cl)Cl)O,,0.0,,,
C(CO)NC(=O)CN(CC(=O)NCCO)C(=O)C(=O)N(CC(=O)NCCO)CC(=O)NCCO,,0.0,,,
C(CO)Nc1c2c(c(nc(n2)N(CCO)CCO)NCCO)nc(n1)N(CCO)CCO,,0.0,,,
C(COC(=O)C=CC(=O)NC(=O)N)OC(=O)C=CC(=O)NC(=O)N,,,0.0,,
C(COc1cccc2[nH]ccc12)NCc3ccccc3,,,,1.0,
C(COc1cccc2[nH]ncc12)NCc3ccccc3,,,,1.0,
C(COc3ccc(c2nc1ccccc1[nH]2)cc3)CN5CCN(c4ccccn4)CC5,,,,1.0,
C(COc3ccc(c2nc1ccccc1[nH]2)cc3)CN5CCN(c4ncccn4)CC5,,,,1.0,
C(CSc1nnc(n1N)C(F)(F)F)CSc2nnc(n2N)C(F)(F)F,,,0.0,,
C(C[NH3+])c1nc(on1)c2c(c(c(c(c2F)F)F)F)F,,0.0,,0.0,
C(NC(=O)NCO[C@H](C(Cl)(Cl)Cl)O)O[C@H](C(Cl)(Cl)Cl)O,0.0,,,,
C([C@@H]1[C@@H](C(=S)[C@@H]2[C@@H](O1)N[C@H]3C(=N2)C(=O)N[C@@H](N3)[NH3+])S)OP(=O)([O-])[O-],,,0.0,,
C([C@@H]1[C@@H](C(=S)[C@H]2[C@@H](O1)N[C@H]3C(=N2)C(=O)N[C@@H](N3)[NH3+])S)OP(=O)([O-])[O-],,,0.0,,
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@]2([C@H]([C@@H]([C@H](O2)CF)O)O)CO)O)O)O)F,,,0.0,,
C([C@H](CC(C(C(F)(F)F)(F)F)(F)F)[NH3+])C(=O)N,,0.0,,,
C([C@H]([C@@H](C(F)(F)F)F)[NH3+])C(=O)N,0.0,,,,
C/C(=C(/C#N)\C(=O)COC(=O)/C(=C/c1ccc(cc1)F)/c2cccs2)/N,,,,0.0,
C/C(=C(/C#N)\C(=O)COC(=O)CCc1[nH]c(=O)c2ccccc2n1)/N,,,0.0,,
C/C(=C(/C#N)\C(=O)COC(=O)CSCc1[nH]c(=O)c2c(csc2n1)c3ccccc3)/N,,0.0,,,
C/C(=C(/C#N)\C(=O)CS[C@H]1NN=C(N1c2ccc(cc2)Cl)C3=c4ccccc4=[NH+]C3)/N,0.0,,,,
C/C(=C(/C#N)\C(C(F)(F)F)(C(F)(F)F)NC(=O)c1ccc(cc1Cl)Cl)/N,0.0,,,,
C/C(=C(/C1c2ccccc2S(=O)(=O)c3c1cccc3)\C(=O)C)/O,,,,0.0,
C/C(=C(/CNc1ccc(cc1)S(=O)(=O)c2ccc(cc2)N)\C(=O)c3ccccc3)/c4ccccc4,,,,0.0,
C/C(=C(\C(=O)Nc1cccc(c1)C(F)(F)F)/NNC(=O)C(=O)NN)/C(=O)c2ccc(cc2)Cl,,0.0,,,
C/C(=C(\CCO)/C(=O)n1c(nc(n1)SC)N)/Nc2[nH]nc(n2)SC,,,0.0,,
C/C(=C(\P(=N/N=N/c1ccccc1)(N2CCOCC2)N3CCOCC3)/C#N)/[NH+]4CCCC4,,,0.0,,
C/C(=C/1\C(=NN(C1=O)[C@@H]2Nc3ccccc3S2)CC(=O)OC)/NCCc4c[nH]c[nH+]4,0.0,,,,
C/C(=C/1\C(=NN(C1=O)[C@@H]2Nc3ccccc3S2)CSc4ccc(cc4)Cl)/NCCc5c[nH]c[nH+]5,0.0,,,,
C/C(=C/1\C(=NN(C1=O)[C@@H]2Nc3ccccc3S2)c4ccc(cc4)OC)/NCCc5c[nH]c[nH+]5,0.0,,,,
C/C(=C/1\C(=NN(C1=O)[C@H]2Nc3ccccc3S2)CC(=O)OC)/NCCc4c[nH]c[nH+]4,0.0,,,,
C/C(=C/1\C(=NN(C1=O)c2ccc(cc2)F)c3ccccc3)/NC4CC([NH2+]C(C4)(C)C)(C)C,,,,0.0,
C/C(=C/1\C(=NN(C1=O)c2nc3ccccc3s2)CC(=O)OC)/NC4CC([NH2+]C(C4)(C)C)(C)C,,,0.0,,
C/C(=C/1\C(=O)N(C(=S)S1)c2ccccc2C(=O)N)/c3cccc(c3)N,,0.0,,,
C/C(=C/1\C(=O)N=C(S1)N(C)c2ccccc2C(=O)[O-])/c3cccc(c3)N,0.0,,,,
C/C(=C/1\C(=O)NC(=O)N(C1=O)c2ccc(cc2)OC)/N[C@H](CC3=c4ccccc4=[NH+]C3)C(=O)OC,,,,0.0,
C/C(=C/1\C(=O)NC(=O)N(C1=O)c2ccccc2)/N[C@H](CC3=c4ccccc4=[NH+]C3)C(=O)OC,,,,0.0,
C/C(=C/1\C(=O)NC(=O)N(C1=O)c2ccccc2F)/NCc3ccccc3,0.0,,,,
C/C(=C/1\C(=O)NC(=S)N(C1=O)CCOC)/Nc2ccc(cc2C#N)[N+](=O)[O-],,,0.0,,
C/C(=C/1\C(=O)Nc2ccccc2[C@@H](N1)c3ccccc3O)/C(=O)NOC,,,0.0,,
C/C(=C/1\C=C(C=CC1=O)O)/NNC(=O)[C@@H]2COc3ccccc3O2,,,0.0,,
C/C(=C/C(=O)N1CCC[C@H]1C[NH+]2CCCC2)/C3CC3,,,,0.0,
C/C(=C/C(=O)NC(C)(C)C)/NNC(=O)C(=O)NC(C)(C)C,,,0.0,,
C/C(=C/C(=O)NCC(=O)Nc1ccc2c(c1)[nH]c(=O)[nH]2)/c3ccccc3Cl,,0.0,,,
C/C(=C/C(=O)N[C@@H](c1ccccc1)c2nccn2C)/c3ccccc3Cl,0.0,,,,
C/C(=C/C(=O)Nc1ccc(cc1)N(C)C)/NNC(=O)Cc2cnc(s2)N,,,0.0,,
