EXPERIMENT_DATE,CPU,CPU COUNT,GPU,GPU RAM,RAM,CUDA,DATASET SOURCE,FEATURE TYPE,MODEL ARCHITECTURE,NUMBER POSITIVE,NUMBER NEGATIVE,TARGET,ACCURACY,ROC,PRC,TRAIN ROC,TRAIN PRC,EPISODES,TRAINING TIME,ROC VALUES,PRC VALUES
06/09/2026 14:33:34,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,10,10,adrb2,-1,0.963 ± 0.016,0.812 ± 0.079,-1,-1,-1,0:00:04.216887,"[0.9496190522188246, 0.9876080282782791, 0.9696425067692187, 0.9851656760615675, 0.930605924311532, 0.9443046495552088, 0.9448487528639002, 0.9601745054772562, 0.9719060067194117, 0.9515462797219263, 0.971262138559945, 0.9777408166530326, 0.9426743017215097, 0.958891447993987, 0.9641498555598151, 0.9757708759082224, 0.9766830979325585, 0.9432236875865961, 0.9772697635527757, 0.9711596569658807]","[0.8617093676238816, 0.8065998532150075, 0.6952894533282478, 0.8101027792244753, 0.8523620504307016, 0.843746482814508, 0.8426507218126904, 0.8302045714556535, 0.8818621017732711, 0.7886514464721446, 0.8652027470303317, 0.8167105143014605, 0.8570763546573467, 0.5546913504341873, 0.8090512499473758, 0.8556825361501399, 0.855770358955543, 0.700787344294354, 0.8617575847414422, 0.8577971040659289]"
06/09/2026 14:33:38,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,10,10,cxcr4,-1,0.983 ± 0.018,0.906 ± 0.044,-1,-1,-1,0:00:02.347152,"[0.9933451118963487, 0.9702394974479781, 0.9894189242245779, 0.9797997644287396, 0.9804917550058894, 0.9806242638398115, 0.9718394189242245, 0.9149931291715744, 0.9945671378091874, 0.9896005104043973, 0.9836032587357675, 0.9961327051433058, 0.9853553199842953, 0.9972516686297606, 0.9973351001177856, 0.9889772281115037, 0.9800304279544562, 0.9775471142520612, 0.9911219081272085, 0.9992540243423637]","[0.9132443491692306, 0.902959405540285, 0.914438259184738, 0.8821970332693265, 0.9044404775580569, 0.9053234597861668, 0.8358474365571973, 0.7771505961498244, 0.9084804377111704, 0.9402741213571031, 0.9337840278716795, 0.9544794576448494, 0.8576548789397919, 0.9470900259701784, 0.949325751031769, 0.9114162720619888, 0.9015480922543058, 0.8946196511329683, 0.9127092571523439, 0.96996138996139]"
06/09/2026 14:33:40,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,5,10,adrb2,-1,0.956 ± 0.014,0.710 ± 0.103,-1,-1,-1,0:00:03.812421,"[0.9502389498603789, 0.9692572334358599, 0.9745527992112736, 0.94973743557652, 0.9640192281580051, 0.9549949228689332, 0.9475383293877334, 0.9312845731962901, 0.9579877735599545, 0.975103608895606, 0.9699535678653025, 0.9550616340096938, 0.9573079693246825, 0.9677399977566165, 0.9373710792445701, 0.951501591031189, 0.9790859097805616, 0.9562017746344171, 0.945940656602927, 0.9324726809023125]","[0.6478776209842054, 0.7713209924273314, 0.8055836302093633, 0.5478505981437174, 0.718835304433382, 0.8009496152493825, 0.6084307986080466, 0.5343415671707111, 0.7200584398922099, 0.7340282390657322, 0.7944571402445082, 0.709601610672491, 0.7848187854937553, 0.8291294428674465, 0.6060517704626709, 0.6981772633762446, 0.8612505229269195, 0.7533434893121276, 0.7712201955601958, 0.5067142540665758]"
06/09/2026 14:33:44,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,5,10,cxcr4,-1,0.908 ± 0.128,0.735 ± 0.201,-1,-1,-1,0:00:02.222883,"[0.939062762914353, 0.47184502776375564, 0.8877250546861855, 0.9662502103314824, 0.7984393404004712, 0.9702465084973919, 0.956650681474003, 0.6654719838465422, 0.9388019518761568, 0.9619089685344102, 0.9623380447585395, 0.9793917213528521, 0.9810112737674577, 0.9314319367322901, 0.9863284536429412, 0.9311500925458522, 0.9870562005721016, 0.9102936227494531, 0.963675752986707, 0.969846878680801]","[0.806332154087939, 0.29256821104515324, 0.5410160700432406, 0.8144924977278278, 0.38711366528442304, 0.8652028169123334, 0.8555159936756886, 0.437591268541487, 0.8343710756117237, 0.8430134993311202, 0.5213261629085182, 0.869275228804109, 0.8391729671047935, 0.8126169908394623, 0.8992832002927347, 0.5235698716571896, 0.9451494815085837, 0.8032242681712691, 0.8947523923403705, 0.9171945589483279]"
06/09/2026 14:33:46,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,10,adrb2,-1,0.831 ± 0.087,0.311 ± 0.162,-1,-1,-1,0:00:02.910125,"[0.7846777561852829, 0.9095218551498101, 0.8555119354932275, 0.6931165704672679, 0.8448905067146213, 0.8989749688197929, 0.8738396612234244, 0.561142065724976, 0.7402491516083186, 0.8396561475766453, 0.8529750268294806, 0.8628965687269774, 0.8615400121820344, 0.7881513762798387, 0.7997775328479857, 0.9402600284247469, 0.9140363140644489, 0.847381007628274, 0.8713279867737912, 0.8873805725556168]","[0.31265609601051814, 0.29422213587449975, 0.38226832375305536, 0.05636918897500928, 0.3315077165358185, 0.49053436370897896, 0.21818803979345333, 0.030760899145340602, 0.0464313073386978, 0.230648519615311, 0.40963908054037784, 0.398329770303373, 0.25604323696460257, 0.20478518262577022, 0.24581466188686818, 0.6225616404909039, 0.5405277665605457, 0.3949599425613712, 0.2625854088359841, 0.4983968969669099]"
06/09/2026 14:33:49,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,10,cxcr4,-1,0.763 ± 0.099,0.424 ± 0.040,-1,-1,-1,0:00:02.033999,"[0.7857396333544744, 0.8664114644680017, 0.9244359880402284, 0.7300481713025883, 0.5970900909063452, 0.6079739361541482, 0.7995567938147443, 0.717514572196551, 0.8436509015130924, 0.7712731418561807, 0.8498572981788529, 0.9201171816012805, 0.7308824861828396, 0.6029189695267434, 0.7136827640361209, 0.7422835311527891, 0.6501880039865906, 0.8716363142158196, 0.7751464770016007, 0.764643924979614]","[0.4512267424819879, 0.3838084180421329, 0.4760561663922507, 0.4463376995394147, 0.3675644278893476, 0.3692128830454347, 0.4494056941118587, 0.447075709395282, 0.47226372657857546, 0.37689332888947447, 0.3928507305556251, 0.469751072761231, 0.44659483326883176, 0.44414364244549354, 0.3714766206394931, 0.4474544046193735, 0.45018414281903407, 0.3861110331050985, 0.3736667306252559, 0.45126031014018764]"
06/09/2026 14:33:51,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,5,adrb2,-1,0.777 ± 0.117,0.241 ± 0.161,-1,-1,-1,0:00:02.894009,"[0.5919808051959349, 0.7917201385969236, 0.8678576916943328, 0.9430294156023022, 0.5294003798367573, 0.6178010061324789, 0.766420980906679, 0.8824773475216376, 0.7414944111805385, 0.8556918972990997, 0.857702712498369, 0.6364680980616727, 0.6677308378155037, 0.8802042709888802, 0.8166800527712136, 0.8591198515447178, 0.8951341751598358, 0.6859083462603477, 0.834271713759659, 0.8287808979804863]","[0.16632006463354632, 0.1661355848706208, 0.21221848919157904, 0.5065555050695343, 0.130581727451516, 0.03149432991035053, 0.07693642170273396, 0.44784664909256067, 0.0396329160121153, 0.3355775035183526, 0.4446327594621966, 0.06414157079182067, 0.13894110054140646, 0.5481446272150288, 0.09062126672692682, 0.24985737057125643, 0.38514251950996037, 0.21946244690430863, 0.3601368886695579, 0.20892117007068842]"
06/09/2026 14:33:54,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,5,cxcr4,-1,0.800 ± 0.085,0.404 ± 0.120,-1,-1,-1,0:00:02.016429,"[0.7883993395607627, 0.6010449415330332, 0.8113300009801039, 0.863147339771862, 0.8762618837596785, 0.8499800209591447, 0.824252293820068, 0.9005797691478374, 0.915032531909921, 0.7151855789021329, 0.769762287110126, 0.8365525976522743, 0.8026900082177942, 0.7974992272257783, 0.7723218661178085, 0.7340525788041226, 0.751332564328742, 0.6245259689834814, 0.8588650396942076, 0.8985743258016119]","[0.37470881807543094, 0.44768443219170984, 0.4285690483849872, 0.46935000373395064, 0.47705318487637166, 0.04374481102975722, 0.4514202902331855, 0.39950361482780866, 0.5217132639383415, 0.3723594252606863, 0.4484842510429442, 0.11215305739800191, 0.3748702177858386, 0.44447312200520406, 0.4493421880479954, 0.4791205180990398, 0.4499681806141833, 0.44453503248462833, 0.38393052713795245, 0.5126067591596434]"
06/09/2026 14:33:56,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,1,adrb2,-1,0.718 ± 0.128,0.171 ± 0.134,-1,-1,-1,0:00:02.698025,"[0.7297745936685633, 0.4516115567124765, 0.6191451893894375, 0.879898514973462, 0.5558411140452841, 0.780160561428733, 0.5678511900793386, 0.7040193983946756, 0.8306213167834378, 0.7098723972902541, 0.6211056099392134, 0.8648672230322602, 0.8521342002510313, 0.5859779057734285, 0.7330598851517637, 0.8015154633497306, 0.8359722532226785, 0.929706907996765, 0.6382473324308578, 0.6768475869405786]","[0.059931770408955566, 0.05457062459802174, 0.09670828791278263, 0.3986715296657177, 0.02758182277995733, 0.30550638637757266, 0.02521389868196085, 0.04130024817364574, 0.20045383014452692, 0.04883620286493008, 0.04575032240260475, 0.40133767665974784, 0.3791547917885449, 0.114194135999971, 0.19235745620430628, 0.19074183251562124, 0.2526769256300142, 0.3494684372723712, 0.07781829466290045, 0.1597851875472567]"
06/09/2026 14:33:59,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,23.7 GB,Not Available,dude_gpcr,ecfp,random_forest,1,1,cxcr4,-1,0.771 ± 0.116,0.362 ± 0.125,-1,-1,-1,0:00:01.964741,"[0.8916261907451334, 0.8363266689257879, 0.5290861854738507, 0.5452727888851238, 0.7710568922022667, 0.8697202454911706, 0.8384765992695508, 0.6434730223276479, 0.7605595090176588, 0.6093377009676569, 0.858413343875899, 0.847264580744757, 0.7601227455853007, 0.8571369403968523, 0.841541473700064, 0.7816521706389546, 0.6306261530931135, 0.907876802590459, 0.8181670996648971, 0.831254941827629]","[0.4629718224761145, 0.37872549488707064, 0.11711149784135699, 0.3667105536992731, 0.043097447993313144, 0.41550440959209783, 0.42798744400214983, 0.3972294345257029, 0.3734924054249129, 0.09185307911318133, 0.3994836054995601, 0.4370503923504351, 0.37197944154531604, 0.3836761043051264, 0.4519127554451229, 0.3770082574485087, 0.433340045460275, 0.46688608867046866, 0.3761272675949702, 0.46430350342131826]"
