EXPERIMENT_DATE,CPU,CPU COUNT,GPU,GPU RAM,RAM,CUDA,DATASET SOURCE,FEATURE TYPE,MODEL ARCHITECTURE,NUMBER POSITIVE,NUMBER NEGATIVE,TARGET,ACCURACY,ROC,PRC,TRAIN ROC,TRAIN PRC,EPISODES,TRAINING TIME,ROC VALUES,PRC VALUES
06/09/2026 11:18:08,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,10,10,MUV-832,-1,0.808 ± 0.079,0.084 ± 0.061,-1,-1,-1,0:00:04.281835,"[0.8672335407123812, 0.7394236685581459, 0.882240035550694, 0.7399295822793464, 0.8595867231831544, 0.8806949476994599, 0.7868479524167635, 0.9561837697408901, 0.8009434607233199, 0.6733010870308334, 0.7867471115061189, 0.7980840226977508, 0.7938640869624666, 0.8598567717235249, 0.7795446776509196, 0.8518681205988925, 0.8647073904423327, 0.6088774184726875, 0.7757400697340534, 0.8610873726669857]","[0.05968586928403576, 0.01927819990230073, 0.21003954771548755, 0.08800732399608877, 0.06606608739819286, 0.04790807531735845, 0.024406052694690317, 0.14270956201362944, 0.027789054100114265, 0.13701369905105087, 0.17992223127321882, 0.13288850177745215, 0.008039774148900359, 0.17417703257273176, 0.0843902398704519, 0.09144925959251685, 0.02400173300966581, 0.001978919870994472, 0.08922746812848885, 0.06734144152914248]"
06/09/2026 11:18:12,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,10,10,MUV-846,-1,0.866 ± 0.041,0.094 ± 0.050,-1,-1,-1,0:00:04.264808,"[0.8168137822915956, 0.7539721218730829, 0.9162378160997887, 0.9240048394792448, 0.8211471610660487, 0.8849567173335151, 0.8792072796673711, 0.8452525390225615, 0.8157078590416468, 0.8874173539636017, 0.8571518642219345, 0.9070632540385795, 0.843073069320428, 0.9035972326358122, 0.8917541408220298, 0.8733198146002318, 0.8888896462408833, 0.8742008043078181, 0.8701946015949833, 0.8729994547065639]","[0.1937685263761465, 0.05022999394547173, 0.15127224787022167, 0.1246632414079765, 0.09442785471125492, 0.053746033011056904, 0.17603637079595796, 0.05239272369090335, 0.10426043597542886, 0.1176484064738389, 0.175448800720365, 0.0678702153703396, 0.09660289968265567, 0.07076738423538523, 0.029701083474539383, 0.09688932826743563, 0.052837493449062495, 0.030309006155830223, 0.08903230607483525, 0.04912868791531428]"
06/09/2026 11:18:17,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,10,10,MUV-852,-1,0.798 ± 0.054,0.161 ± 0.065,-1,-1,-1,0:00:04.313576,"[0.8609128041840161, 0.7919950437275779, 0.7764238477387007, 0.7848253778437334, 0.8361206362470645, 0.8358126701917673, 0.8116112207702393, 0.9023459449335082, 0.7464646937628768, 0.7011828778077139, 0.7025696255420922, 0.8352039419655078, 0.8341287622285936, 0.8206827121183743, 0.8346798593801777, 0.7208909043756393, 0.7461783393605832, 0.7589094039506101, 0.8266943535954586, 0.8277839411010417]","[0.04983738830229559, 0.13342854713792662, 0.13579902714353292, 0.1871771796954682, 0.2623603872928035, 0.15189396177992256, 0.22717582939736433, 0.2530365378334918, 0.16140931039079331, 0.21567107352473014, 0.1357586628765015, 0.1784331542605026, 0.17095059247211308, 0.2654343301475437, 0.03552200557556136, 0.15671359777536809, 0.17395669971802363, 0.1414776363679827, 0.06864428405693385, 0.1170911289218177]"
06/09/2026 11:18:21,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,10,10,MUV-858,-1,0.619 ± 0.077,0.004 ± 0.003,-1,-1,-1,0:00:04.385197,"[0.5746664761666637, 0.6528387477006055, 0.6749522261711285, 0.6959584233743503, 0.6268569285446395, 0.6593931384280178, 0.5815959137749361, 0.5656010572750164, 0.7561159430643115, 0.44401085850016964, 0.5814619684603433, 0.6848998982015608, 0.6239529941242655, 0.6883824763809762, 0.651677888307467, 0.55131712892683, 0.5567053024485203, 0.627149822299216, 0.481297662207776, 0.703771900058936]","[0.003151529402613594, 0.0030623210142072723, 0.003462473832943113, 0.005444985653224972, 0.002316519805485407, 0.002404264295166916, 0.0023451573895006167, 0.0015533651243815351, 0.009628733737586036, 0.0035386847704294276, 0.0021543359242153027, 0.009542677498143306, 0.00938882953718, 0.0037393255528911143, 0.002168173301271151, 0.0018144096199639542, 0.0017098912035476111, 0.004092456295408113, 0.002113607246231925, 0.0026044391792667586]"
06/09/2026 11:18:25,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,10,10,MUV-859,-1,0.553 ± 0.070,0.002 ± 0.001,-1,-1,-1,0:00:04.362927,"[0.526868251378855, 0.6743401887671872, 0.6389463411792123, 0.48057465237318414, 0.5014104132680804, 0.57965800512701, 0.6130782451642974, 0.6584906393226132, 0.5286816398663869, 0.539702769362231, 0.6373757088479765, 0.5965344131127165, 0.5560329759962712, 0.45109191719101993, 0.46419346694632174, 0.5431741823972656, 0.5762691291851161, 0.4987255301794454, 0.4334144138895362, 0.5625145653693777]","[0.00163840928509387, 0.0018009197354094692, 0.0025070887708599117, 0.0014389423283358454, 0.0009658380603513152, 0.002231580109128194, 0.0031092970282697295, 0.0014640402097004558, 0.0012801510463155853, 0.0017704267022854788, 0.0014704871538228532, 0.0012667955865198967, 0.0012694893759365423, 0.0011707020747717463, 0.0010135247988295971, 0.001411776654721485, 0.0020941499531912915, 0.001066537642173422, 0.000863972976565478, 0.0011159287838021616]"
06/09/2026 11:18:30,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,5,10,MUV-832,-1,0.722 ± 0.094,0.089 ± 0.052,-1,-1,-1,0:00:03.808421,"[0.7901059684145758, 0.7896000546933752, 0.7881834962740139, 0.6923415601285294, 0.654914883434744, 0.8173186572776372, 0.7186859916592603, 0.6008026252820127, 0.7151555342859096, 0.7559390168865796, 0.5103507212688863, 0.5745675805018118, 0.636909824297532, 0.8107827989334793, 0.7684255144595611, 0.7945908251862993, 0.7419142681342723, 0.8740356874273604, 0.6295986873589936, 0.7740356874273604]","[0.058204075683012335, 0.1351157216202557, 0.14269569263972004, 0.09210182527739416, 0.0487165717488945, 0.06296910065408756, 0.011795026435989986, 0.049026696659997315, 0.08891847739596681, 0.14730585009898742, 0.008957959185045663, 0.07949840076065198, 0.024000762633921497, 0.10344036374811336, 0.029153806672995705, 0.18398407890234483, 0.1105075617801852, 0.17130590690538317, 0.09349775544090272, 0.13282136246271392]"
06/09/2026 11:18:34,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,5,10,MUV-846,-1,0.819 ± 0.067,0.068 ± 0.048,-1,-1,-1,0:00:03.886967,"[0.8409583532138232, 0.80774861972599, 0.848557017244905, 0.8276531933746848, 0.8636575557221731, 0.90054120373526, 0.831099447890396, 0.8835035103264944, 0.677961965782837, 0.7843691636561925, 0.9000299911389816, 0.8334687478699475, 0.8643787062913231, 0.8686020039533774, 0.6812487219685094, 0.8105827823597573, 0.7405684684070615, 0.7405234816985891, 0.7875945743303115, 0.8933351509781201]","[0.031657074794804375, 0.122664112394437, 0.06586306239425663, 0.17975211426950574, 0.052007416843490945, 0.042816658476075756, 0.14542049235024493, 0.12496330104290576, 0.009892849091526877, 0.009157203017862065, 0.023339469937262085, 0.03329179606788635, 0.07571914110284339, 0.03546421009587249, 0.014647942574111127, 0.07245037524168593, 0.10446331308897813, 0.0624253894493898, 0.05805225375540015, 0.10429654453432757]"
06/09/2026 11:18:37,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,5,10,MUV-852,-1,0.754 ± 0.077,0.124 ± 0.081,-1,-1,-1,0:00:03.848773,"[0.8186750045624601, 0.788896397937768, 0.8143991240076649, 0.7819856966876539, 0.8202875490464459, 0.7766690049274569, 0.7614061501961857, 0.7721607240624145, 0.7357964914681996, 0.8544831873346108, 0.6945775161967332, 0.7851480518295465, 0.7418460283785017, 0.7789402545852724, 0.7382602199105758, 0.773235753718405, 0.732775287434985, 0.7293049662377954, 0.4763992494753171, 0.7114971142440004]","[0.28275593818946254, 0.12303628915382703, 0.1824625107465505, 0.2599015903626548, 0.17523106963211388, 0.01735000247638791, 0.12099425312919002, 0.10529417849150834, 0.07841164350901239, 0.1882493173100583, 0.09949987014817495, 0.08074786189383974, 0.07245508403967538, 0.20965793166153238, 0.17599534769259959, 0.182353951793842, 0.09894476036420502, 0.02778165951834343, 0.0024853641815697734, 0.005745549959605982]"
06/09/2026 11:18:41,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,5,10,MUV-858,-1,0.560 ± 0.061,0.007 ± 0.010,-1,-1,-1,0:00:03.834447,"[0.6067964596765072, 0.6024884062888813, 0.612029182219206, 0.6023031896844248, 0.6189967198280737, 0.5727420540662821, 0.4457951589186744, 0.49575415676959617, 0.6144341703427214, 0.4607750820042982, 0.4784597330618708, 0.5968202126456283, 0.5311178034159032, 0.4746946046827282, 0.6067823210044113, 0.5330010745390793, 0.6076136749236511, 0.5655723334464428, 0.5219107001470422, 0.6431597104399954]","[0.0050991566467164144, 0.04486684180955885, 0.004040074882317994, 0.00402344997341514, 0.006980370425611336, 0.012753631563535678, 0.002003203819101685, 0.0020462503921157187, 0.0036299442240189323, 0.001511488624742743, 0.0016259623627591837, 0.003424181669280615, 0.022534428298566604, 0.003142996894564156, 0.0022036516445226653, 0.005255390480967076, 0.00229555753341802, 0.0023001036838760126, 0.004014413809189284, 0.002754197524031267]"
06/09/2026 11:18:45,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,muv,ecfp,random_forest,5,10,MUV-859,-1,0.536 ± 0.076,0.002 ± 0.001,-1,-1,-1,0:00:03.814292,"[0.45276680690306514, 0.5481078818579891, 0.6808870667696975, 0.6190632065481811, 0.4606890901805901, 0.4478674766034172, 0.5759888097077931, 0.4163804699350333, 0.5823155462064623, 0.570985733092928, 0.45808291119315414, 0.6331458744741135, 0.49859763601499674, 0.4997674651555479, 0.6404778769926447, 0.5023146160670846, 0.5336728342062333, 0.6045888068458258, 0.5344312555450617, 0.45681649065567675]","[0.0011418264361744588, 0.0022380887729509, 0.003770397556948273, 0.0020416690132538493, 0.001374595216680604, 0.0012056325686715897, 0.001653874222797606, 0.0011288575415467283, 0.0018998920634910794, 0.002023519499038246, 0.0013133926645964862, 0.002325549712613512, 0.001632063485900606, 0.0017132811498436946, 0.0026975098936729844, 0.0014074299296941025, 0.0018544156018098154, 0.0021242694140795127, 0.004883705313524385, 0.0015798137582479187]"
