EXPERIMENT_DATE,CPU,CPU COUNT,GPU,GPU RAM,RAM,CUDA,DATASET SOURCE,FEATURE TYPE,MODEL ARCHITECTURE,NUMBER POSITIVE,NUMBER NEGATIVE,TARGET,ACCURACY,ROC,PRC,TRAIN ROC,TRAIN PRC,EPISODES,TRAINING TIME,ROC VALUES,PRC VALUES
06/09/2026 11:19:32,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,10,10,SR-HSE,-1,0.543 ± 0.040,0.075 ± 0.013,-1,-1,-1,0:00:03.260996,"[0.5309364540894704, 0.5635681808678706, 0.5090490292859493, 0.5874251671184364, 0.5044322518129873, 0.5433937541245575, 0.5809483619029958, 0.5571663676078384, 0.6101952245122796, 0.4685979140419482, 0.5056905259254008, 0.554570964205658, 0.5632654860660402, 0.5649112186147305, 0.5350444225074038, 0.5905421054832299, 0.5833331060849837, 0.5389512761358327, 0.46896560187179914, 0.5072524038330433]","[0.06782237282533654, 0.08871876801839856, 0.07012133794900921, 0.09291215372915272, 0.05704723561493941, 0.0780672385447927, 0.0765855134616994, 0.06891087577261756, 0.09352557119082165, 0.05279118394077971, 0.07289418599999797, 0.08206901840109046, 0.08628163647970342, 0.09654054109388255, 0.06215284759521141, 0.07893909078408115, 0.0765442381800121, 0.06700823079306374, 0.06165099855904603, 0.06269080086917975]"
06/09/2026 11:19:35,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,10,10,SR-MMP,-1,0.681 ± 0.057,0.295 ± 0.053,-1,-1,-1,0:00:03.031121,"[0.6332838536678798, 0.7451947053445267, 0.6682785955123177, 0.7329182221290651, 0.6072262822852559, 0.6002723263814855, 0.7245130785326311, 0.7098445636815038, 0.7286439379429228, 0.6540137028256714, 0.7633609778001034, 0.7026279258654273, 0.7100932419149082, 0.6611598705156606, 0.7000673983513604, 0.7257155879918906, 0.6521133810120956, 0.6359055908106956, 0.7161086125335636, 0.54287350522021]","[0.264845369923767, 0.39757879139738617, 0.2547656127162163, 0.34883289595407596, 0.22904023361100256, 0.2838042592323903, 0.34702920282770966, 0.2860572606784099, 0.32532642068651785, 0.2637250818328617, 0.38501627590963394, 0.2774322914113836, 0.310828513555666, 0.2876795112380154, 0.29537454726627016, 0.3054551145651193, 0.254582906053115, 0.2311391050982606, 0.3533474358437706, 0.19044384543728465]"
06/09/2026 11:19:38,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,10,10,SR-p53,-1,0.633 ± 0.053,0.107 ± 0.019,-1,-1,-1,0:00:03.181048,"[0.6883896890680299, 0.661073907601927, 0.6607004283734119, 0.6748584257602042, 0.6421820514369203, 0.6864502347529111, 0.6035621202610761, 0.6483790542756682, 0.6073223335991396, 0.5489636238112313, 0.4937221467448437, 0.6644776527919963, 0.6545357274740801, 0.6438307882972939, 0.666703237304191, 0.651916212209598, 0.6472312841798481, 0.6131097325552325, 0.5305413881500431, 0.6648295336823217]","[0.12999787753561245, 0.1294469405288768, 0.12427055086059484, 0.12065167168167948, 0.11898175153165068, 0.1271623603468905, 0.08340992253661103, 0.1109992369496652, 0.09519612005564473, 0.07386774532211599, 0.07730996881913782, 0.10862304370301507, 0.12311786011746412, 0.10894882037432287, 0.11975149580485625, 0.106491893503441, 0.11334391002930129, 0.09349359375585373, 0.06961728723334239, 0.1075759946733157]"
06/09/2026 11:19:41,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,5,10,SR-HSE,-1,0.560 ± 0.035,0.079 ± 0.012,-1,-1,-1,0:00:02.816177,"[0.5854103287597292, 0.5685717820916639, 0.5107138085900549, 0.5836922012027117, 0.5715565944268558, 0.5212440364274423, 0.5282779363281876, 0.5629809748474194, 0.5865337802034047, 0.5524895253619387, 0.518286794827999, 0.5746259121878791, 0.6187677808830346, 0.5664562324656846, 0.5735051505720814, 0.5350150585530699, 0.6107718192112888, 0.5889396070878757, 0.5700267548212923, 0.4810252816922246]","[0.0775576105816593, 0.07912576910395669, 0.06614558048813521, 0.0959400695052323, 0.10135322379375078, 0.0698480548969278, 0.0628014068629241, 0.07464055397635222, 0.0783264795130935, 0.07734078057814835, 0.06555009101029693, 0.07400236660880383, 0.09099521212574632, 0.09241889155052574, 0.08360493730370673, 0.08682454761213675, 0.09376504655553812, 0.0783683541279224, 0.0813609789654346, 0.05580693883374767]"
06/09/2026 11:19:44,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,5,10,SR-MMP,-1,0.679 ± 0.053,0.285 ± 0.046,-1,-1,-1,0:00:02.655998,"[0.6726371516343544, 0.7433557033713195, 0.7100795231039754, 0.670816197896216, 0.5549817286896861, 0.6670351328499919, 0.7080437118748691, 0.6936110839060621, 0.5975756257935014, 0.7081680439409963, 0.6991628981433977, 0.6614952239414814, 0.6621367639249667, 0.7161250715442874, 0.746910791798711, 0.5578948278759006, 0.703348856684101, 0.7248962663990289, 0.68880178031838, 0.6984401548321707]","[0.2873463270170615, 0.3763548507924786, 0.3099977892258631, 0.24873188049352418, 0.2101317514814047, 0.2688659687374828, 0.3201378290611385, 0.3043954766745526, 0.22861245012726186, 0.3039852766380918, 0.2894918597988311, 0.2468782443725778, 0.24860331831184762, 0.29829965119925256, 0.352512254470883, 0.19177873809477858, 0.29697034574405295, 0.3200553467834963, 0.3109145612583938, 0.27982002221013896]"
06/09/2026 11:19:47,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,5,10,SR-p53,-1,0.584 ± 0.055,0.092 ± 0.018,-1,-1,-1,0:00:02.829264,"[0.6486280844776349, 0.5934374069916591, 0.6244087124548461, 0.4959365269533451, 0.5395182526744855, 0.6194011811398348, 0.6652022652866054, 0.5514820525061829, 0.5050090421103999, 0.5601198362902117, 0.6599295893809214, 0.6507396098824147, 0.5482023045672856, 0.5792857865880651, 0.47182555449967745, 0.5946926891100358, 0.5707120227586218, 0.6197639608824858, 0.5738863927191749, 0.6110030472742984]","[0.10902305781423895, 0.0901755810886789, 0.1032884120402833, 0.06312219687764642, 0.06650405465761637, 0.08867687975293077, 0.11411554973463986, 0.08411589366319527, 0.0705699635813671, 0.09069987969373995, 0.10522314203242265, 0.124807354190331, 0.07620424288389788, 0.10986841203875748, 0.0592260339040789, 0.10367630051398713, 0.08937779107684175, 0.09830411017035802, 0.09076630859310211, 0.10184673131363944]"
06/09/2026 11:19:50,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,1,10,SR-HSE,-1,0.509 ± 0.057,0.065 ± 0.013,-1,-1,-1,0:00:02.280648,"[0.4887560101430727, 0.5333598972565986, 0.5718633949137404, 0.48817639331990503, 0.49064519734023726, 0.4913026433542741, 0.5641050884769339, 0.40086578877113255, 0.45418100187233534, 0.5757348982544087, 0.501774549898933, 0.575363047675812, 0.508375618309683, 0.5029220315591826, 0.4185305760069678, 0.4734198900368879, 0.4415507211284745, 0.5229795675091733, 0.598469226204889, 0.5868046039403301]","[0.05659672785692022, 0.06768524370755137, 0.0688730549318183, 0.056395554608492576, 0.08515979325872039, 0.05795697019872028, 0.07718630721353598, 0.04706798124616449, 0.05471949254985284, 0.0737907290863508, 0.06369194748404255, 0.07707092691957998, 0.055981075085721796, 0.057426056664767466, 0.04777969961447788, 0.05541478601825919, 0.05202938710954238, 0.06477384764150587, 0.09017611407490445, 0.08714377559965042]"
06/09/2026 11:19:52,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,1,10,SR-MMP,-1,0.599 ± 0.070,0.228 ± 0.046,-1,-1,-1,0:00:02.183378,"[0.6603572300802542, 0.49791391392018236, 0.6486065996137135, 0.6094292209052775, 0.7191345365053322, 0.5627231457932069, 0.5892984622789117, 0.5019662102139605, 0.5930535290470853, 0.5403198896426358, 0.6720743131962752, 0.6598054879887066, 0.672493990551277, 0.5561308677670793, 0.4691780362365061, 0.6522347455724208, 0.5695521562895021, 0.5310213468500827, 0.6028278850945096, 0.6770317170070754]","[0.27335422740847237, 0.173364854558952, 0.23527360233986594, 0.23531706985388595, 0.32764039575828846, 0.2054595370066143, 0.2153723332833678, 0.17423827929768335, 0.19990726155612226, 0.19507597731471088, 0.258051032987909, 0.24402459633005213, 0.26941757491674306, 0.21541861643728114, 0.15058375711587088, 0.2830995124664195, 0.17448933035495118, 0.22772680499628054, 0.20584191225982187, 0.2914208847906836]"
06/09/2026 11:19:54,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,1,10,SR-p53,-1,0.569 ± 0.049,0.086 ± 0.017,-1,-1,-1,0:00:02.275433,"[0.5881070263993164, 0.549154716066306, 0.6611391242927285, 0.5794905101034513, 0.5761107211962223, 0.5194038567155066, 0.6201738679540343, 0.49102732264151794, 0.515780890612163, 0.5337806796091806, 0.6009073128246416, 0.6058120098108906, 0.5428569878650839, 0.5541985852324849, 0.5404553324643802, 0.5012540460944246, 0.6344829753515595, 0.593645106451753, 0.5352924935314866, 0.6459326930415406]","[0.10055057246828904, 0.09892577786403464, 0.10358705223951252, 0.08353880761658736, 0.07347049898975261, 0.07202141544820026, 0.08493278876083948, 0.061783020248538274, 0.0673475685256456, 0.06995886946989581, 0.08579133282157009, 0.0958662570802897, 0.08573474013186004, 0.08072702808455418, 0.07347205904754049, 0.06277387591688681, 0.09989246144060177, 0.10333546539765018, 0.07564451540777259, 0.13219001422979643]"
06/09/2026 11:19:56,AMD Ryzen 5 3600 6-Core Processor,12,Not Available,Not Available,26.6 GB,Not Available,tox21,ecfp,random_forest,1,5,SR-HSE,-1,0.527 ± 0.041,0.069 ± 0.010,-1,-1,-1,0:00:02.264686,"[0.5591538523914246, 0.5271958925785396, 0.5274732773453302, 0.5273990569804141, 0.5128930743758953, 0.5499560659750362, 0.4928094867362669, 0.5819330793741385, 0.5518230958709992, 0.4356586979842635, 0.5362288433188156, 0.5694153163360574, 0.4182944558938281, 0.5125589719571091, 0.5108151257115738, 0.5388008559048171, 0.521029620350648, 0.5591259366720829, 0.5487734143095976, 0.554220524434452]","[0.07945513560424108, 0.0665124609114361, 0.06293837105166818, 0.07755074482954344, 0.06280670626002491, 0.07176914431636745, 0.058949045842806774, 0.09208544063262546, 0.07977902618449048, 0.051065369779891234, 0.06974454464964125, 0.07506429984115108, 0.0491345436695144, 0.06901903360707409, 0.062037194493550406, 0.07234131661696681, 0.0624490706304474, 0.07803413290723973, 0.06448685132755039, 0.07173971037204253]"
